HOSPITAL,,,Reviewer,"RATING CATEGORIES (Score 1-5, 1 = low/bad, 5 = high, outstanding)",,,,,,,,,,REVIEWS,,,
Hospital Name,Hospital City,Hospital State ,Reviewer's Name,Onboarding & Orientation,Culture & Friendliness Toward Travelers,Facility Location,Safety & Patient Ratios,Management & Leadership,Patient Acuity,Housing Options,Pay,Diversity & Inclusion,Would You Return?,Review Title,Review,Source Website,Date Posted 
Kaiser Sunnyside Medical Center,Clackamas,OR,Anonymous,4,4.5,4,5,5,,,,,,Intensive Care — Syndicated Review,"Great staff to work with. I have worked with MANY Kaiser hospitals and typically float a couple times a shift and never work in icu. But this hospital i mainly worked ICU. I floated to Med Surg once. ED once (which our manager stood up for us and told them we won’t float there anymore because they gave us ICU nurses an ED run when we have no experience in ED), and Floated to PCU about 25% of the time, if that. Definitely recommend. MSICU charge nurses are amazing and so helpful. Would def come back here.",https://app.scrubstr.com/hospitals/kaiser-sunnyside-medical-center,"November 17, 2021"
Kaiser Sunnyside Medical Center,Clackamas,OR,Anonymous,4,4.5,4,5,5,,,,,,Intensive Care — Syndicated Review,"Overall a pretty nice facility. My husband and I ended up doing a full extension (they didn’t allow anything less than that). This won’t be communicated to you, but it’s pretty much a guarantee that you will be put into their “critical care float pool” even if your contract says ICU. This means mainly floating to Medsurg ICU/PCU and CVICU/CVPCU, but can also be floated to medsurg or ER. Not as bad as it seems because of their ratios but just something to keep in mind. Staff is mostly friendly and it’s a nice part of town to work in!",https://app.scrubstr.com/hospitals/kaiser-sunnyside-medical-center,"June 3, 2024"
Kalispell Regional Medical Center,Kalispell,MT,Anonymous,4,3,4,4,4,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kalispell-regional-medical-center,"December 4, 2022"
Kapiolani Medical Center,Honolulu,HI,Anonymous,5,5,5,5,5,,,,,,Intensive Care — Syndicated Review,"Loved the NICU! Everyone was so friendly and helpful. The setup is different with about 7 long hallways in a row, but had nice private rooms. Overflow unit used occasionally is open bay. Generally 1:3 ratios. Occasional float to PICU where you get babies. Facility is beautiful with new cafeteria. Parking is connected to the hospital for day shift and down the street in a garage for night shift. Work most weekends but can make switches.",https://app.scrubstr.com/hospitals/kapiolani-medical-center,"January 31, 2023"
Kapiolani Medical Center,Honolulu,HI,Anonymous,5,5,5,5,5,,,,,,Emergency Room — Syndicated Review,"1:4 ratio in a mixed ED, 2/3 PEDS, 1/3 Adults. Lots of OB cases. Very nice staff, great teamwork. They made sure we are not short staffed so they always floated ICU and floor nurses to help us out. Nice hospital, nice cafeteria (could use more variety though). Honolulu was wonderful. One of my best assignments.",https://app.scrubstr.com/hospitals/kapiolani-medical-center,"August 3, 2022"
Kaweah Delta Medical Center,Visalia,CA,Anonymous,3,2.5,3.5,4,3,,,,,,Syndicated Review,"Night shift: overall not bad. Mainly newer and younger nurses. Tend to overreact to situations that don’t warrant a rapid response team. Helpful. I noticed RNs that are black tend to get harsher criticism/assignments. doctors can be rude. Patient assignments can scrambled and rearranged on the daily at times on a whim, but justified with “spreading the workload”, typically 4 pts if on Telemetry, and 5 for Med surg. CNAs are typically very hard working.",https://app.scrubstr.com/hospitals/kaweah-delta-medical-center,"November 6, 2022"
Kaweah Delta Medical Center,Visalia,CA,Anonymous,3,2.5,3.5,4,3,,,,,,Med-Surg — Syndicated Review,"Training was not only computer classes, in person classes, but an additional two shifts on days and two shifts on nights. I was on oncology med surg and for that particular floor we were ALWAYS in ratio 1:4. The acuity of the patients were very manageable compared to other floors. Other floors when floating I would sometimes get 1:5 but that was 2 out of the 4 other medsurg floors that I noticed. People were welcoming. Manager was reasonable and understanding. I read the other review and cannot speak for them but I wouldn’t judge this hospital based off of a mistake that someone made. I’ve had a very very good experience here! I am from Texas and used to a 1:6 higher acuity. They really worked with my schedule we are able to bid for our own schedules. Ask for any day off as long as it’s advance and they work with you. (Except if it lowers your contracted hours per week) . It’s honestly my favorite assignment. Very manageable on nights. The reason I’m leaving is the hospital cut our rates. They are also going through cutting travelers and raising the pt ratio 1:5 for financial reasons. Otherwise we have long term travelers on my floor. Will miss it here.",https://app.scrubstr.com/hospitals/kaweah-delta-medical-center,"October 22, 2022"
Kaweah Delta Medical Center,Visalia,CA,Anonymous,3,2.5,3.5,4,3,,,,,,Intensive Care — Syndicated Review,Contract was canceled for something that happened on day shift with a pt I had the night before. He was fine when I left but because an adult part’s mother got mad they let me go rather than the staff nurse who allowed him to go into dka.,https://app.scrubstr.com/hospitals/kaweah-delta-medical-center,"April 16, 2022"
Kearney Regional Medical Center,Kearney,NE,Anonymous,3.5,3.5,4.5,4,4,,,,,,Med-Surg — Syndicated Review,"KRMC was a good spot for my first travel assignment. Their version of Meditech (Expanse) was fairly user friendly and didn’t take too long to pick up. I was only floated to PCU once to take care of med surg status patients. The providers are easy to get a hold of and very willing to come lay eyes on a patient. The ratio was 5:1 on weekdays and 6:1 on weekends and nights. On med surg there are lots of post surgical ortho, spine, and urology patients. Scrub colors include navy blue, royal blue, black, and gray.",https://app.scrubstr.com/hospitals/kearney-regional-medical-center,"February 12, 2023"
Kearney Regional Medical Center,Kearney,NE,Anonymous,3.5,3.5,4.5,4,4,,,,,,Med-Surg — Syndicated Review,"Charting was Meditech Expanse, this meditech is nothing like the older version. I did my entire 13 weeks and the manager of the unit never once introduced herself to me. I also didn’t like the fact that they tried forcing mandatory overtime on me and their regular staff. As a traveler you will float to be CNAs/PCT on the floor when short staffed. If the management team would change this gig would be the prefect assignment for a traveler but the manager/management team is the reason why no one stays.",https://app.scrubstr.com/hospitals/kearney-regional-medical-center,"December 24, 2021"
Kent County Memorial Hospital,Warwick,RI,Anonymous,4.5,4.5,5,3.5,4.5,,,,,,Intensive Care — Syndicated Review,ICU contracts are there to staff all the units. (Many medsurg units don’t have staff scheduled most nights). Everyone is really nice. The ICU is amazing. Would keep extending if they didn’t float so often.,https://app.scrubstr.com/hospitals/kent-county-memorial-hospital,"December 4, 2022"
Kent County Memorial Hospital,Warwick,RI,Anonymous,4.5,4.5,5,3.5,4.5,,,,,,Emergency Room — Syndicated Review,"Did 3 contracts for 9months total. Staff was very friendly for the most part, but some HATE travelers and will make your work life more difficult. Leadership wasn’t good, lots of turnover. Lots of travelers in this ED. Some of the staff that hate travelers will stab you in the back. I always felt like they kept secrets from the travelers. Weird feeling! They definitely load up traveler assignments while staff float without assignments. They rationalize it because of the difference in pay. I guess you find that anywhere!",https://app.scrubstr.com/hospitals/kent-county-memorial-hospital,"August 30, 2022"
Kent County Memorial Hospital,Warwick,RI,Anonymous,4.5,4.5,5,3.5,4.5,,,,,,Emergency Room — Syndicated Review,"I liked this place enough to go back twice. The ER was hectic as you’d expect. The assignments were challenging, but everyone’s assignments were challenging. They kept things very fair for travelers. The location is great too because it is within driving distance of Boston, Providence, and CT if you wanted to have a break from the smaller-town feel of Warwick. It was common for the ER to board patients on a regular basis, which is something that I’d assume got worse with COVID. It is unfortunate but not something that would deter me from going back again",https://app.scrubstr.com/hospitals/kent-county-memorial-hospital,"April 24, 2021"
Kent County Memorial Hospital,Warwick,RI,Anonymous,4.5,4.5,5,3.5,4.5,,,,,,Labor and Delivery — Syndicated Review,Great assignment. Stayed 9 months. Would go back.,https://app.scrubstr.com/hospitals/kent-county-memorial-hospital,"January 19, 2021"
Kern Medical Center,Bakersfield,CA,Anonymous,4.5,4.5,2,1,5,,,,,,Labor and Delivery — Syndicated Review,All money ain’t good money!! Always out of ratio! “Director” is not a nurse and is clueless about safe ratios. All the staff is travelers because they ran off their perm staff. Neither the state or union will help . The manager is a traveler as well who refuses to come help when everyone is drowning. No lunches or breaks!! Unsafe unsafe unsafe for your license PERIOD,https://app.scrubstr.com/hospitals/kern-medical-center,"January 8, 2023"
Kern Medical Center,Bakersfield,CA,Anonymous,4.5,4.5,2,1,5,,,,,,Intensive Care — Syndicated Review,"I was a traveler here for a 2 week covid crisis assignment, which is why the pay was so inflated. Bakersfield is super ghetto, so just be aware of that before you go. Lots of drugs and gang activity, so do not stray far from the hospital or where you’re staying. The doctors at this hospital were honestly incompetent in the ICU. We were maxing levo at 200? It was messed up. But the staff other than the docs were super nice and appreciative of all of us travelers that were there. Large covid population at the time, all unvaccinated.",https://app.scrubstr.com/hospitals/kern-medical-center,"October 6, 2021"
Kettering Medical Center,Kettering,OH,Anonymous,4,5,4,5,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kettering-medical-center,"December 6, 2022"
Kindred Hospital Baldwin Park,Baldwin Park,CA,Anonymous,1,2,2,4,2,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kindred-hospital-baldwin-park,"January 17, 2024"
Kindred Hospital - Chicago,Northlake,IL,Anonymous,2,2,4,2,3,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kindred-hospital-chicago,"November 14, 2022"
Kindred Hospital-denver,Denver,CO,Anonymous,2,4,4,1,1,,,,,,Med-Surg — Syndicated Review,The most archaic charting system I’ve ever seen.,https://app.scrubstr.com/hospitals/kindred-hospital-denver,"February 1, 2023"
Kindred Hospital El Paso,El Paso,TX,Anonymous,4,3.5,4,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kindred-hospital-el-paso,"February 7, 2022"
Kingman Regional Medical Center,Kingman,AZ,Anonymous,5,5,4,3,4,,,,,,Med-Surg — Syndicated Review,"Hospital likes to micromanage, if your working Night Shift you might not feel it, Days I’m sure is a different story. The staff is super friendly and helpful.",https://app.scrubstr.com/hospitals/kingman-regional-medical-center,"September 5, 2023"
Kings Daughters Medical Center,Ashland,KY,Anonymous,4,4.5,2.5,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kings-daughters-medical-center,"November 18, 2021"
Kit Carson County Memorial Hospital,Burlington,CO,Anonymous,5,4,4,4,4,,,,,,Emergency Room — Syndicated Review,Administrators are horrible. They are incredibly stingy for a hospital that is in the middle of nowhere. They want all travelers to go staff and they aren’t happy when you say that doesn’t make sense for you. They also wait until the last minute to offer extensions and are always looking to cut your rate. And the town has numerous feed lots around so there is often a smell of cow or pig feces in the air.,https://app.scrubstr.com/hospitals/kit-carson-county-memorial-hospital,"February 24, 2023"
Kona Community Hospital,Kealakekua,HI,Anonymous,5,5,5,5,4,,,,,,Med-Surg — Syndicated Review,"It is a really special community of people who live and work here. They take you in and treat you like family. There’s potlucks every week and employee parties. Incredible people work here and I will miss them so much. If you’re burnt out this is a great place to hit the reset button. The ocean and the friendships here are very therapeutic. The hospital itself is a little older but they do a great job maintaining and improving it. There were more vital machines than my fancy faculty I came from but sometimes on days it can be hard to find a place to chart. 10/10 take a leap of faith and get out here, you won’t regret it.",https://app.scrubstr.com/hospitals/kona-community-hospital,"July 23, 2023"
Kootenai Medical Center,Coeur D'alene,ID,Anonymous,5,5,4.5,5,4.5,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kootenai-medical-center,"March 16, 2023"
Kosciusko Community Hospital,Warsaw,IN,Anonymous,3.5,5,4,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/kosciusko-community-hospital,"October 28, 2021"
Lac/harbor-ucla Medical Center,Torrance,CA,Anonymous,4,5,4,2,3,,,,,,Syndicated Review,Mostly travelers but the staff they do have is nice to travel nurses! Have to do own labs mostly. Will have 5 patients on med surge and up to 2 more with LVN coverage so it’s like having 7 patients. Rarely have CNAs due to so many sitter patients. They give 3-4 day orientation on floor.,https://app.scrubstr.com/hospitals/lac-harbor-ucla-medical-center,"December 4, 2022"
Lac+usc Medical Center,Los Angeles,CA,Anonymous,3,5,3,5,5,,,,,,Labor and Delivery — Syndicated Review,"I loved my contract here. I loved having the residents available at all hours of the night on the floor for help. So many times when I needed them, they would appear in my patient room before I even called them. I loved having the NICU residents at every delivery. I loved having the support of midwives on the floor. The providers were also so nice and wanted to give the best care possible to the patients. It made me feel passionate again after being at the worst hospital I have ever worked at. They were always staffed well and had plenty of supportive staff. Always got my breaks. Always was out on time. I was hesitant to sign my contract here because of the location and the level of care the patients needed per managers interview with me but I loved the patient population and I felt safe. I can’t wait to go back to this one",https://app.scrubstr.com/hospitals/lacusc-medical-center,"January 27, 2023"
Lafayette General Medical Center,Lafayette,LA,Anonymous,4.5,4.5,5,4,4.5,,,,,,Syndicated Review,One of the med/tele unit has a charge plus the floor nurses all with 6 patients. So there isn’t sufficient help. High acuity patients. No management support. Frequently short staffed.,https://app.scrubstr.com/hospitals/lafayette-general-medical-center,"December 8, 2022"
Lafayette General Medical Center,Lafayette,LA,Anonymous,4.5,4.5,5,4,4.5,,,,,,Emergency Room — Syndicated Review,Catty management. Will lie about things to nursing board and staffing agency. Patients were great and staff was good!,https://app.scrubstr.com/hospitals/lafayette-general-medical-center,"December 7, 2022"
Lafayette General Medical Center,Lafayette,LA,Anonymous,4.5,4.5,5,4,4.5,,,,,,Telemetry/Step-down — Syndicated Review,"Travel is first to be floated, but staff welcomes travelers! Scrub color is actually royal blue but no option in drop down.",https://app.scrubstr.com/hospitals/lafayette-general-medical-center,"December 5, 2022"
Lafayette General Medical Center,Lafayette,LA,Anonymous,4.5,4.5,5,4,4.5,,,,,,Emergency Room — Syndicated Review,Awesome place to work and I would love to return there again,https://app.scrubstr.com/hospitals/lafayette-general-medical-center,"February 21, 2021"
Lahey Clinic Medical Center,Burlington,MA,Anonymous,4.5,4.5,4.5,3.5,4.5,,,,,,Med-Surg — Syndicated Review,"Level 1 trauma center so you saw a lot and did a lot. There’s a lot to do in a shift and constantly not staffed well. Day shift is constantly at 6 patients and most patients are neuro, ortho, trauma so they require a lot including frequent re-assessments. Travelers constantly running along to do the work and make sure orders are being followed. Staff sits at the nursing station at least 9 of the 12 hours. They get annoyed when you ask them for help w a patient since CNAs are rare. I would not recommend.",https://app.scrubstr.com/hospitals/lahey-clinic-medical-center,"October 28, 2022"
Lahey Clinic Medical Center,Burlington,MA,Anonymous,4.5,4.5,4.5,3.5,4.5,,,,,,Surgical — Syndicated Review,I adored traveling to this hospital! The staff works incredibly well together and genuinely care for their patients. The physicians are very responsive and spend a lot of time face time face with their patients. I’d highly rec recommend,https://app.scrubstr.com/hospitals/lahey-clinic-medical-center,"August 17, 2022"
Lake District Hospital,Lakeview,OR,Anonymous,4.5,4.5,3,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lake-district-hospital,"October 28, 2021"
Lake Regional Health System,Osage Beach,MO,Anonymous,2,1,4,3,3,,,,,,Med-Surg — Syndicated Review,"Day shift nurses were expected to care for 6 patients sometimes flexing to 7. When unsafe conditions were brought up to supervisors, they were ignored and did not care. One doctor would not transfer an ICU level patient until after numerous hours where I had to spend with the patient as a one on one borderline neglecting my other patients while I was also expected to take 2 admissions. They cancelled my contract because they felt I was “overwhelmed” with the amount of work required when in all reality I was standing up for my license and the safety of my patients. It is definitely not a “Culture of One” at Lake Regional.",https://app.scrubstr.com/hospitals/lake-regional-health-system,"August 18, 2022"
Lakes Region General Hospital,Laconia,NH,Anonymous,5,5,5,5,5,,,,,,Syndicated Review,"Mostly travelers. Staff was great to work with. One of my favorite assignments yet, stayed a year. Hospital is struggling staying afloat and a lot of management issues. Great as a traveler.",https://app.scrubstr.com/hospitals/lakes-region-general-hospital,"December 4, 2022"
Lake West Hospital,Willoughby,OH,Anonymous,2,3,2,1,2,,,,,,Surgical — Syndicated Review,him and soarian charting,https://app.scrubstr.com/hospitals/lake-west-hospital,"September 28, 2022"
Lakewood Regional Medical Center,Lakewood ,CA,Anonymous,3,3,3.5,-,-,,,,,,Intensive Care — Syndicated Review,"This was a covid crisis contract so so. E things are not relevant to a normal contract. In general the hospital is very small, they are very friendly. I wod go back",https://app.scrubstr.com/hospitals/lakewood-regional-medical-center,"March 23, 2021"
Lancaster General Hospital,Lancaster,PA,Anonymous,3.5,3.5,4,4.5,4,,,,,,Med-Surg — Syndicated Review,Was on 7 obs for 6 months. Loved the hospital. Employee parking garage attached to hospital. Had other shift options like 3-3. Coworkers were great. Really loved it there.,https://app.scrubstr.com/hospitals/lancaster-general-hospital,"December 7, 2022"
Lancaster General Hospital,Lancaster,PA,Anonymous,3.5,3.5,4,4.5,4,,,,,,Syndicated Review,"Friendly hospital, well run system, follow ASPAN standards. Parking garage with cameras/lighting everywhere. Level 1 trauma center, expect vents, drips, ART lines and chest tubes in main PACU",https://app.scrubstr.com/hospitals/lancaster-general-hospital,"February 4, 2022"
Lancaster Rehabilitation Hospital,Lancaster,PA,Anonymous,3,2,4,4,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lancaster-rehabilitation-hospital,"January 17, 2023"
Largo Medical Center,Largo,FL,Anonymous,2.5,3.5,4.5,1,1,,,,,,Intensive Care — Syndicated Review,"Toxic, toxic management and charge nurse at CTICU A. They bully, retaliate and abuse you emotionally and physically. If the Manager does not like you, she will send you to CTICU B for punishment. The manager tried to call security on this poor staff nurse who attempted to report work-related unprofessional behavior. Avoid avoid this place at any cost. There will be no lunch breaks; if you try to take one, no one will watch your patients. Colored nurses are not welcomed in this unit! Avoid this place!",https://app.scrubstr.com/hospitals/largo-medical-center,"December 4, 2022"
Largo Medical Center,Largo,FL,Anonymous,2.5,3.5,4.5,1,1,,,,,,Emergency Room — Syndicated Review,Constantly floated. Not staffed.,https://app.scrubstr.com/hospitals/largo-medical-center,"December 4, 2021"
Largo Medical Center,Largo,FL,Anonymous,2.5,3.5,4.5,1,1,,,,,,Intensive Care — Syndicated Review,"HCA hospital. Always short staffed with no PCT 90% of the time in PCU and 100% of time in CVICU. Most of the time RT is not available for the patients and you as the RN are responsible. If you call for RT, they tell you that they too busy. Not enough IV pumps, equipment, supplies, etc. to properly conduct business. Management is terrible. Most of the staff is nasty, unwelcoming, and makes you feel like you’re not part of a team. This was NOT a travel assignment; rather, I was staff for one year here. I would NOT recommend this hospital for travel assignments or core staff.",https://app.scrubstr.com/hospitals/largo-medical-center,"November 3, 2021"
Las Palmas Medical Center,El Paso,TX,Anonymous,5,5,5,5,5,,,,,,Labor and Delivery — Syndicated Review,"The staff was instantly welcoming, the charges were FAIR, and always helpful! This hospital was properly staffed and SAFE! I never once feared for my license. I extended once and honestly miss it! I have NOTHING bad to say about this hospital, the building too was brand new and I had access to everything I needed. This hospital was extremely busy, which I like!",https://app.scrubstr.com/hospitals/las-palmas-medical-center,"July 31, 2023"
Laurel Oaks Behavioral Health Center,Dothan,AL,Anonymous,1,1.5,2.5,-,-,,,,,,Syndicated Review,Absolute worst place I have worked in 5 years of traveling. Extremely understaffed dangerous blood bath. DHS contacted. Do not work here. There are no words.,https://app.scrubstr.com/hospitals/laurel-oaks-behavioral-health-center,"September 17, 2021"
Lawnwood Regional Medical Center & Heart,Fort Pierce,FL,Anonymous,3.5,5,3.5,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lawnwood-regional-medical-center-heart,"November 4, 2021"
Lawrence & Memorial Hospital,New London,CT,Anonymous,3,1.5,2,1.5,4,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lawrence-memorial-hospital-2,"November 10, 2023"
Lawrence Memorial Hospital,Lawrence,KS,Anonymous,5,4,4,5,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lawrence-memorial-hospital-3,"October 7, 2022"
Lea Regional Medical Center,Hobbs,NM,Anonymous,4,4,4,4,4,,,,,,Intensive Care — Syndicated Review,"Easy onboarding. Typical small hospital with limited resources. ICU is basically a MS/PCU. Ratios stay 2:1, occasionally pulled but everyone is helpful and it’s a good environment.",https://app.scrubstr.com/hospitals/lea-regional-medical-center,"January 3, 2023"
Lee Memorial Hospital,Fort Myers,FL,Anonymous,4.5,5,5,-,-,,,,,,Emergency Room — Syndicated Review,Working in the ER I always had 4:1 ratio. The acuity of the patients wasn’t too bad. Many patients at times were Baker Acts or Marchman Acts. Large homeless population as well. The job itself wasn’t bad. I extended twice. The staff was super friendly and helpful. Great teamwork. Orders were appropriate on the patients. Scheduling followed A/B team pattern so your schedule was set. Staff was accommodating to switch if I needed off.,https://app.scrubstr.com/hospitals/lee-memorial-hospital,"November 19, 2021"
Legacy Emanuel Medical Center,Portland,OR,Anonymous,4.5,4,4,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/legacy-emanuel-medical-center,"January 31, 2022"
Lehigh Valley Hospital-muhlenberg,Bethlehem,PA,Anonymous,4.5,4,4,4,2.5,,,,,,Telemetry/Step-down — Syndicated Review,"Poor management, a few salty staff nurses but everyone was mostly cool. Felt like high school at times though. Felt like pulling teeth to get hospitalists to bedside, so a lot of rapids called that weren’t necessary just to get them to come to bedside at night. Residents were responsive. Draw your own labs, no IV team but PICC during the day could do difficult sticks. Area is safe but close to Allentown which is not. It’s like night and day. Oh and they try to make you over chart. Which I didn’t.",https://app.scrubstr.com/hospitals/lehigh-valley-hospital-muhlenberg,"December 4, 2022"
Lehigh Valley Hospital-muhlenberg,Bethlehem,PA,Anonymous,4.5,4,4,4,2.5,,,,,,Emergency Room — Syndicated Review,"I worked as a staff nurse here, not travel. The ER always (well 9 times out of 10) had the equipment that you needed. The area is safe for the most part (Allentown, the city next to here, is much more dangerous). The staff was always nice to me but can be quite cliquey at times. I left to do travel nursing. Staff pay is not great but the travel pay from what I researched was very nice. Ratios are not bad and patient assignments are fair. Can be very busy at times. Plenty of things to do near here. I had no problems with management and they were mostly fair. I would return here if they paid better.",https://app.scrubstr.com/hospitals/lehigh-valley-hospital-muhlenberg,"April 4, 2023"
Lehigh Valley Hospital Pocono,East Stroudsburg,PA,Anonymous,4,4,4,3,3.5,,,,,,Med-Surg — Syndicated Review,Staffing is poor. Ratios on med/surg go as high as 8 to 1. The techs run the show. The techs are not helpful and take advantage of the travel nurses. The management is poor. The covering PAs are not helpful and do not want to be bothered. This hospital has been sited many times for multiple violations. It’s a very unprofessional place. The ER just sends patients to the floor in poor condition. No one seems to care enough here. Moral is down and it is a negative place.,https://app.scrubstr.com/hospitals/lehigh-valley-hospital-pocono,"August 22, 2022"
Lehigh Valley Hospital Schuylkill,Pottsville,PA,Anonymous,3,3,2,2,3,,,,,,Emergency Room — Syndicated Review,1:7 ratio in the ED. Heavy psych population.,https://app.scrubstr.com/hospitals/lehigh-valley-hospital-schuylkill,"August 30, 2024"
Lewisgale Hospital Pulaski,Pulaski,VA,Anonymous,2,3,1,2,2,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lewisgale-hospital-pulaski,"April 7, 2024"
Lewisgale Medical Center,Salem,VA,Anonymous,4,5,3,5,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lewisgale-medical-center,"May 3, 2023"
Lexington Medical Center,West Columbia,SC,Anonymous,2,3,2.5,4,3,,,,,,Telemetry/Step-down — Syndicated Review,"I have worked at many hospitals in SC. This is definitely at the top of my list. There is an old part of the hospital and a new part. However, this hospital seems to be working at the small hospital mentality even though they are growing rapidly. Staff for the most part are very friendly. There are a few that were pretty bad/rude. Policies are hard to find and when you do find one it's not very clear cut. The policies are horrible and do not guide you properly. I think they like having it so vague because they can do what they want.",https://app.scrubstr.com/hospitals/lexington-medical-center,"December 8, 2022"
Lexington Medical Center,West Columbia,SC,Anonymous,2,3,2.5,4,3,,,,,,Med-Surg — Syndicated Review,"Management is really hateful here. I knew people that had been there for 10+ years and they jumped ship because the floors were so toxic. Management refuses to give any guidance when they're already unclear of their own policies. Their computer system makes it impossible to find policies. They don't provide much training modules which is great, but they also don't make it easy to find policies. Travelers are always kind, but some of the permanent staff AND management are just a thorn in the side to deal with. Way, way too much of politics. Like I really have time for any of that!",https://app.scrubstr.com/hospitals/lexington-medical-center,"November 4, 2021"
Liberty Hospital,Liberty,MO,Anonymous,4,4.5,3.5,4.5,4,,,,,,Syndicated Review,Liked my floor a lot but was frequently floated. Staff were all friendly and helpful.,https://app.scrubstr.com/hospitals/liberty-hospital,"November 27, 2022"
Liberty Hospital,Liberty,MO,Anonymous,4,4.5,3.5,4.5,4,,,,,,Telemetry/Step-down — Syndicated Review,"Super busy crazy tele floor. Did not have enough CNA, made assignments scattered and down 4 hallways, lots of running",https://app.scrubstr.com/hospitals/liberty-hospital,"September 20, 2022"
Liberty Hospital,Liberty,MO,Anonymous,4,4.5,3.5,4.5,4,,,,,,Intensive Care — Syndicated Review,Staff nurses and management treat travel nurses so well. Acuity was good for location and type of hospital.,https://app.scrubstr.com/hospitals/liberty-hospital,"January 5, 2022"
Liberty Regional Medical Center,Hinesville,GA,Anonymous,2,2,2,1,2,,,,,,Syndicated Review,"Nurses were rude for no reason, even though they needed help, even the CNA would fight amongst themselves. Very snarky company.",https://app.scrubstr.com/hospitals/liberty-regional-medical-center,"December 4, 2022"
Licking Memorial Hospital,Newark,OH,Anonymous,3,3,5,1,3,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/licking-memorial-hospital,"June 6, 2023"
Lima Memorial Health System,Lima,OH,Anonymous,4.5,5,2.5,4,3,,,,,,Med-Surg — Syndicated Review,"Small facility with not many resources but very traveler friendly. Very easy to get a hold of manager, block scheduled for me, treated me as staff, every third weekend schedule and only two holidays asked to work. There's one provider on during nights for on-call, admitting, emergency medicine, etc. There is also one ICU nurse for the whole hospital as resource and response. Supply is also not open during night shift. Cafeteria food is awful but door dash is available in this area or just pack.",https://app.scrubstr.com/hospitals/lima-memorial-health-system,"December 4, 2021"
Lima Memorial Health System,Lima,OH,Anonymous,4.5,5,2.5,4,3,,,,,,Med-Surg — Syndicated Review,"Been here for 6 months, and it was the longest 6 months of my life. My manager was great and most of the staff I worked with weren’t terrible. Travel nurses aren’t allowed to do PD patients. I had to work every other weekend my entire contract, and block schedule was non existent. The policy’s there are sketchy example would be iron not being a blood product and you don’t have to treat it as such. The isolation is stupid, they isolate for everything but don’t have recognition for c-diff or covid. Patients in droplet precautions are allowed to have their door open. It’s all just sketchy. Meditech is trash. There’s resource nurses Monday through Friday they’re pretty great. The primary docs at night the one is a Richard, and isn’t nice to nurses, the other doesn’t answer the phone often. There’s LPNs so we have to do all their IV meds on top of ours. 10/10 wouldn’t go back unless the money was really really good. I stayed longer than I should have",https://app.scrubstr.com/hospitals/lima-memorial-health-system,"June 4, 2024"
Lincoln Hospital,Bronx,NY,Anonymous,4,4,4,4,4,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/lincoln-hospital-2,"October 3, 2022"
Little Colorado Medical Center,Winslow,AZ,Anonymous,3.5,3,2.5,3.5,3.5,,,,,,Med-Surg — Syndicated Review,"If you’re not a local, you will have to deal with high school behavior of people building their own cliques and speaking bad about you behind your back. It made my time there very very uncomfortable because the managers listen more to their personal friends than any “outsiders”.",https://app.scrubstr.com/hospitals/little-colorado-medical-center,"December 4, 2022"
Little Company Of Mary Hospital,Evergreen Park,IL,Anonymous,2.5,2.5,2.5,3,3.5,,,,,,Intensive Care — Syndicated Review,Staff was rude and cliquey. Lots of charge nurse bullies on this unit. Many of the patients on pressure became extravasted because nurses have horrible technique with IVs. Just because it flushes does not mean it's in the vein. CLASBIs and CAUTIs run rampant due to improper protocols and RNs not following procedure. Lack of critical thinking skills and more of monkey see monkey do.,https://app.scrubstr.com/hospitals/little-company-of-mary-hospital,"February 4, 2023"
Little Company Of Mary Hospital,Evergreen Park,IL,Anonymous,2.5,2.5,2.5,3,3.5,,,,,,Labor and Delivery — Syndicated Review,"Can only speak to working L&D. Hospital orientation was 1 day plus 1 day orientation on unit. Hospital orientation was kind of a waste- I would've rather had two days on unit orientation. Nursing staff on the unit were great- super excited to have a traveler to help, very welcoming and helpful. Some of the docs were a little difficult to work with but overall not bad. Not far from downtown Chicago.",https://app.scrubstr.com/hospitals/little-company-of-mary-hospital,"August 18, 2022"
